company,requested_region,candidate_url,final_url,status,failure_reason,header_text,observed_region,missing_fields,missing_field_reasons,timestamp
ASUS,"Kuala Lumpur, 14","https://www.glassdoor.com/Reviews/ASUS-Kuala-Lumpur-Reviews-EI_IE40093.0,4_IL.5,17_IC2986682.htm","https://www.glassdoor.com/Reviews/ASUS-Kuala-Lumpur-Reviews-EI_IE40093.0,4_IL.5,17_IC2986682.htm",success,,ASUS Kuala Lumpur reviews,Kuala Lumpur,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:17:44.573928+00:00
ASUS,"Manila, D9","https://www.glassdoor.com/Reviews/ASUS-Manila-Reviews-EI_IE40093.0,4_IL.5,11_IC2363570.htm","https://www.glassdoor.com/Reviews/ASUS-Manila-Reviews-EI_IE40093.0,4_IL.5,11_IC2363570.htm",success,,ASUS Manila reviews,Manila,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:17:52.727586+00:00
ASUS,"Mumbai, MH","https://www.glassdoor.com/Reviews/ASUS-Mumbai-Reviews-EI_IE40093.0,4_IL.5,11_IC2851180.htm","https://www.glassdoor.com/Reviews/ASUS-Mumbai-Reviews-EI_IE40093.0,4_IL.5,11_IC2851180.htm",success,,ASUS Mumbai reviews,Mumbai,,,2026-06-28T14:18:00.851744+00:00
ASUS,"Seoul, 11","https://www.glassdoor.com/Reviews/ASUS-Seoul-Reviews-EI_IE40093.0,4_IL.5,10_IC3021489.htm","https://www.glassdoor.com/Reviews/ASUS-Seoul-Reviews-EI_IE40093.0,4_IL.5,10_IC3021489.htm",success,,ASUS Seoul reviews,Seoul,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:18:10.155583+00:00
ASUS,Singapore,"https://www.glassdoor.com/Reviews/ASUS-Singapore-Reviews-EI_IE40093.0,4_IL.5,14_IC3235921.htm","https://www.glassdoor.com/Reviews/ASUS-Singapore-Reviews-EI_IE40093.0,4_IL.5,14_IC3235921.htm",success,,ASUS Singapore reviews,Singapore,,,2026-06-28T14:18:17.305484+00:00
ASUS,"Taipei, TPQ","https://www.glassdoor.com/Reviews/ASUS-Taipei-Reviews-EI_IE40093.0,4_IL.5,11_IC3271041.htm","https://www.glassdoor.com/Reviews/ASUS-Taipei-Reviews-EI_IE40093.0,4_IL.5,11_IC3271041.htm",success,,ASUS Taipei reviews,Taipei,,,2026-06-28T14:18:25.499958+00:00
ASUS,"Tokyo, 40","https://www.glassdoor.com/Reviews/ASUS-Tokyo-Reviews-EI_IE40093.0,4_IL.5,10_IC2851580.htm","https://www.glassdoor.com/Reviews/ASUS-Tokyo-Reviews-EI_IE40093.0,4_IL.5,10_IC2851580.htm",success,,ASUS Tokyo reviews,Tokyo,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:18:34.354785+00:00
ASUS,"San Isidro, HUC",https://www.glassdoor.com/Reviews/index.htm,https://www.glassdoor.com/Reviews/index.htm,validation_failed,company_mismatch,Explore companies,,"recommend,ceo_approval,total_reviews","ceo_approval:page_missing,recommend:selector_failure,total_reviews:page_missing",2026-06-28T14:18:34.525895+00:00
ASUS,"Santiago, RM","https://www.glassdoor.com/Reviews/ASUS-Santiago-Reviews-EI_IE40093.0,4_IL.5,13_IC2434030.htm","https://www.glassdoor.com/Reviews/ASUS-Santiago-Reviews-EI_IE40093.0,4_IL.5,13_IC2434030.htm",success,,ASUS Santiago reviews,Santiago,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:18:42.685016+00:00
ASUS,"São Paulo, SP","https://www.glassdoor.com/Reviews/ASUS-São-Paulo-Reviews-EI_IE40093.0,4_IL.5,14_IC2479061.htm","https://www.glassdoor.com/Reviews/ASUS-S%C3%A3o-Paulo-Reviews-EI_IE40093.0,4_IL.5,14_IC2479061.htm",success,,ASUS São Paulo reviews,São Paulo,,,2026-06-28T14:18:51.958030+00:00
ASUS,"Sydney, NSW","https://www.glassdoor.com/Reviews/ASUS-Sydney-Reviews-EI_IE40093.0,4_IL.5,11_IC2235932.htm","https://www.glassdoor.com/Reviews/ASUS-Sydney-Reviews-EI_IE40093.0,4_IL.5,11_IC2235932.htm",success,,ASUS Sydney reviews,Sydney,,,2026-06-28T14:18:59.797369+00:00
ASUS,"Bellevue, WA","https://www.glassdoor.com/Reviews/ASUS-Bellevue-Reviews-EI_IE40093.0,4_IL.5,13_IC1150442.htm","https://www.glassdoor.com/Reviews/ASUS-Bellevue-Reviews-EI_IE40093.0,4_IL.5,13_IC1150442.htm",success,,ASUS Bellevue reviews,Bellevue,"ceo_approval,diversity_inclusion","ceo_approval:selector_failure,diversity_inclusion:page_missing",2026-06-28T14:19:08.957976+00:00
ASUS,"San Jose, CA","https://www.glassdoor.com/Reviews/ASUS-San-Jose-Reviews-EI_IE40093.0,4_IL.5,13_IC1147436.htm","https://www.glassdoor.com/Reviews/ASUS-San-Jose-Reviews-EI_IE40093.0,4_IL.5,13_IC1147436.htm",success,,ASUS San Jose reviews,San Jose,,,2026-06-28T14:19:22.233534+00:00
ASUS,"Toronto, ON","https://www.glassdoor.com/Reviews/ASUS-Toronto-Reviews-EI_IE40093.0,4_IL.5,12_IC2281069.htm","https://www.glassdoor.com/Reviews/ASUS-Toronto-Reviews-EI_IE40093.0,4_IL.5,12_IC2281069.htm",success,,ASUS Toronto reviews,Toronto,"recommend,ceo_approval","ceo_approval:selector_failure,recommend:selector_failure",2026-06-28T14:19:31.213948+00:00
ASUS,"Moscow, 48","https://www.glassdoor.com/Reviews/ASUS-Moscow-Reviews-EI_IE40093.0,4_IL.5,11_IC3348306.htm","https://www.glassdoor.com/Reviews/ASUS-Moscow-Reviews-EI_IE40093.0,4_IL.5,11_IC3348306.htm",success,,ASUS Moscow reviews,Moscow,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:19:38.006786+00:00
ASUS,"Munich, BY","https://www.glassdoor.com/Reviews/ASUS-Munich-Reviews-EI_IE40093.0,4_IL.5,11_IC4990924.htm","https://www.glassdoor.com/Reviews/ASUS-Munich-Reviews-EI_IE40093.0,4_IL.5,11_IC4990924.htm",success,,ASUS Munich reviews,Munich,"recommend,ceo_approval,diversity_inclusion,work_life_balance,compensation_benefits,culture_values,career_opportunities,senior_management","career_opportunities:selector_failure,ceo_approval:selector_failure,compensation_benefits:selector_failure,culture_values:page_missing,diversity_inclusion:page_missing,recommend:selector_failure,senior_management:selector_failure,work_life_balance:selector_failure",2026-06-28T14:19:47.421024+00:00
ASUS,"Zürich, ZH","https://www.glassdoor.com/Reviews/ASUS-Z%C3%BCrich-Reviews-EI_IE40093.0,4_IL.5,11_IC3297851.htm","https://www.glassdoor.com/Reviews/ASUS-Z%C3%BCrich-Reviews-EI_IE40093.0,4_IL.5,11_IC3297851.htm",success,,ASUS Zürich reviews,Zürich,"recommend,ceo_approval,diversity_inclusion,work_life_balance,compensation_benefits,culture_values,career_opportunities,senior_management","career_opportunities:selector_failure,ceo_approval:selector_failure,compensation_benefits:selector_failure,culture_values:page_missing,diversity_inclusion:page_missing,recommend:selector_failure,senior_management:selector_failure,work_life_balance:selector_failure",2026-06-28T14:19:55.037228+00:00
ASUS,"Bengaluru, KA","https://www.glassdoor.com/Reviews/ASUS-Bengaluru-Reviews-EI_IE40093.0,4_IL.5,14_IC2940587.htm","https://www.glassdoor.com/Reviews/ASUS-Bengaluru-Reviews-EI_IE40093.0,4_IL.5,14_IC2940587.htm",success,,ASUS Bengaluru reviews,Bengaluru,,,2026-06-28T14:20:02.945807+00:00
ASUS,"Hsinchu, TXG","https://www.glassdoor.com/Reviews/ASUS-Hsinchu-Reviews-EI_IE40093.0,4_IL.5,12_IC4915323.htm","https://www.glassdoor.com/Reviews/ASUS-Hsinchu-Reviews-EI_IE40093.0,4_IL.5,12_IC4915323.htm",success,,ASUS Hsinchu reviews,Hsinchu,"ceo_approval,diversity_inclusion","ceo_approval:selector_failure,diversity_inclusion:page_missing",2026-06-28T14:20:14.809137+00:00
ASUS,"Pune, MH","https://www.glassdoor.com/Reviews/ASUS-Pune-Reviews-EI_IE40093.0,4_IL.5,9_IC2856202.htm","https://www.glassdoor.com/Reviews/ASUS-Pune-Reviews-EI_IE40093.0,4_IL.5,9_IC2856202.htm",success,,ASUS Pune reviews,Pune,,,2026-06-28T14:20:22.086201+00:00
ASUS,"Shanghai, 23","https://www.glassdoor.com/Reviews/ASUS-Shanghai-Reviews-EI_IE40093.0,4_IL.5,13_IC2416009.htm","https://www.glassdoor.com/Reviews/ASUS-Shanghai-Reviews-EI_IE40093.0,4_IL.5,13_IC2416009.htm",success,,ASUS Shanghai reviews,Shanghai,,,2026-06-28T14:20:32.635037+00:00
ASUS,"San Jose, MP","https://www.glassdoor.com/Reviews/ASUS-San-Jose-Reviews-EI_IE40093.0,4_IL.5,13_IC1147436.htm","https://www.glassdoor.com/Reviews/ASUS-San-Jose-Reviews-EI_IE40093.0,4_IL.5,13_IC1147436.htm",success,,ASUS San Jose reviews,San Jose,,,2026-06-28T14:20:32.753945+00:00
ASUS,"Portland, OR","https://www.glassdoor.com/Reviews/ASUS-Portland-Reviews-EI_IE40093.0,4_IL.5,13_IC1151614.htm","https://www.glassdoor.com/Reviews/ASUS-Portland-Reviews-EI_IE40093.0,4_IL.5,13_IC1151614.htm",success,,ASUS Portland reviews,Portland,,,2026-06-28T14:20:41.371201+00:00
ASUS,"Paris, A8","https://www.glassdoor.com/Reviews/ASUS-Paris-Reviews-EI_IE40093.0,4_IL.5,10_IC2881970.htm","https://www.glassdoor.com/Reviews/ASUS-Paris-Reviews-EI_IE40093.0,4_IL.5,10_IC2881970.htm",success,,ASUS Paris reviews,Paris,,,2026-06-28T14:20:50.110087+00:00
ASUS,"Jeffersonville, IN","https://www.glassdoor.com/Reviews/ASUS-Jeffersonville-Reviews-EI_IE40093.0,4_IL.5,19_IC1145141.htm","https://www.glassdoor.com/Reviews/ASUS-Jeffersonville-Reviews-EI_IE40093.0,4_IL.5,19_IC1145141.htm",success,,ASUS Jeffersonville reviews,Jeffersonville,"ceo_approval,diversity_inclusion,culture_values","ceo_approval:selector_failure,culture_values:page_missing,diversity_inclusion:page_missing",2026-06-28T14:20:58.943122+00:00
ASUS,"London, ENG","https://www.glassdoor.com/Reviews/ASUS-London-Reviews-EI_IE40093.0,4_IL.5,11_IC2671300.htm","https://www.glassdoor.com/Reviews/ASUS-London-Reviews-EI_IE40093.0,4_IL.5,11_IC2671300.htm",success,,ASUS London reviews,London,,,2026-06-28T14:21:07.114965+00:00
ASUS,"Chicago, IL","https://www.glassdoor.com/Reviews/ASUS-Chicago-Reviews-EI_IE40093.0,4_IL.5,12_IC1128808.htm","https://www.glassdoor.com/Reviews/ASUS-Chicago-Reviews-EI_IE40093.0,4_IL.5,12_IC1128808.htm",success,,ASUS Chicago reviews,Chicago,"recommend,ceo_approval,diversity_inclusion,work_life_balance,compensation_benefits,culture_values,senior_management","ceo_approval:selector_failure,compensation_benefits:selector_failure,culture_values:page_missing,diversity_inclusion:page_missing,recommend:selector_failure,senior_management:selector_failure,work_life_balance:selector_failure",2026-06-28T14:21:16.387775+00:00
ASUS,"Beijing, 22","https://www.glassdoor.com/Reviews/ASUS-Beijing-Reviews-EI_IE40093.0,4_IL.5,12_IC2398510.htm","https://www.glassdoor.com/Reviews/ASUS-Beijing-Reviews-EI_IE40093.0,4_IL.5,12_IC2398510.htm",success,,ASUS Beijing reviews,Beijing,diversity_inclusion,diversity_inclusion:page_missing,2026-06-28T14:21:23.979179+00:00
ASUS,Hong Kong,"https://www.glassdoor.com/Reviews/ASUS-Hong-Kong-Reviews-EI_IE40093.0,4_IL.5,14_IC2308631.htm","https://www.glassdoor.com/Reviews/ASUS-Hong-Kong-Reviews-EI_IE40093.0,4_IL.5,14_IC2308631.htm",success,,ASUS Hong Kong reviews,Hong Kong,,,2026-06-28T14:21:33.351031+00:00
ASUS,"Buenos Aires, C","https://www.glassdoor.com/Reviews/ASUS-Buenos-Aires-Reviews-EI_IE40093.0,4_IL.5,17_IC2242084.htm","https://www.glassdoor.com/Reviews/ASUS-Buenos-Aires-Reviews-EI_IE40093.0,4_IL.5,17_IC2242084.htm",success,,ASUS Buenos Aires reviews,Buenos Aires,,,2026-06-28T14:21:41.116386+00:00
ASUS,Global,https://www.glassdoor.com/Reviews/ASUS-Reviews-E40093.htm,https://www.glassdoor.com/Reviews/ASUS-Reviews-E40093.htm,success,,ASUS reviews,Global,,,2026-06-28T14:21:54.546185+00:00
ASUS,Taipei,"https://www.glassdoor.com/Reviews/ASUS-Taipei-Reviews-EI_IE40093.0,4_IL.5,11_IC3271041.htm","https://www.glassdoor.com/Reviews/ASUS-Taipei-Reviews-EI_IE40093.0,4_IL.5,11_IC3271041.htm",success,,ASUS Taipei reviews,Taipei,,,2026-06-28T14:21:54.678715+00:00
ASUS,Hsinchu,"https://www.glassdoor.com/Reviews/ASUS-Hsinchu-Reviews-EI_IE40093.0,4_IL.5,12_IC4915323.htm","https://www.glassdoor.com/Reviews/ASUS-Hsinchu-Reviews-EI_IE40093.0,4_IL.5,12_IC4915323.htm",success,,ASUS Hsinchu reviews,Hsinchu,"ceo_approval,diversity_inclusion","ceo_approval:selector_failure,diversity_inclusion:page_missing",2026-06-28T14:21:54.867670+00:00
ASUS,Shanghai,"https://www.glassdoor.com/Reviews/ASUS-Shanghai-Reviews-EI_IE40093.0,4_IL.5,13_IC2416009.htm","https://www.glassdoor.com/Reviews/ASUS-Shanghai-Reviews-EI_IE40093.0,4_IL.5,13_IC2416009.htm",success,,ASUS Shanghai reviews,Shanghai,,,2026-06-28T14:21:55.072926+00:00
ASUS,Tokyo,"https://www.glassdoor.com/Reviews/ASUS-Tokyo-Reviews-EI_IE40093.0,4_IL.5,10_IC2851580.htm","https://www.glassdoor.com/Reviews/ASUS-Tokyo-Reviews-EI_IE40093.0,4_IL.5,10_IC2851580.htm",success,,ASUS Tokyo reviews,Tokyo,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:21:55.424875+00:00
ASUS,Seoul,"https://www.glassdoor.com/Reviews/ASUS-Seoul-Reviews-EI_IE40093.0,4_IL.5,10_IC3021489.htm","https://www.glassdoor.com/Reviews/ASUS-Seoul-Reviews-EI_IE40093.0,4_IL.5,10_IC3021489.htm",success,,ASUS Seoul reviews,Seoul,ceo_approval,ceo_approval:selector_failure,2026-06-28T14:21:55.597792+00:00
ASUS,London,"https://www.glassdoor.com/Reviews/ASUS-London-Reviews-EI_IE40093.0,4_IL.5,11_IC2671300.htm","https://www.glassdoor.com/Reviews/ASUS-London-Reviews-EI_IE40093.0,4_IL.5,11_IC2671300.htm",success,,ASUS London reviews,London,,,2026-06-28T14:21:55.734877+00:00
ASUS,Munich,"https://www.glassdoor.com/Reviews/ASUS-Munich-Reviews-EI_IE40093.0,4_IL.5,11_IC4990924.htm","https://www.glassdoor.com/Reviews/ASUS-Munich-Reviews-EI_IE40093.0,4_IL.5,11_IC4990924.htm",success,,ASUS Munich reviews,Munich,"recommend,ceo_approval,diversity_inclusion,work_life_balance,compensation_benefits,culture_values,career_opportunities,senior_management","career_opportunities:selector_failure,ceo_approval:selector_failure,compensation_benefits:selector_failure,culture_values:page_missing,diversity_inclusion:page_missing,recommend:selector_failure,senior_management:selector_failure,work_life_balance:selector_failure",2026-06-28T14:21:56.107993+00:00
NVIDIA,"Fremont, CA","https://www.glassdoor.com/Reviews/NVIDIA-Fremont-Reviews-EI_IE7633.0,6_IL.7,14_IC1147355.htm","https://www.glassdoor.com/Reviews/NVIDIA-Fremont-Reviews-EI_IE7633.0,6_IL.7,14_IC1147355.htm",success,,NVIDIA Fremont reviews,Fremont,,,2026-06-28T14:22:04.325693+00:00
NVIDIA,"Budapest, BU","https://www.glassdoor.com/Reviews/NVIDIA-Budapest-Reviews-EI_IE7633.0,6_IL.7,15_IC3125126.htm","https://www.glassdoor.com/Reviews/NVIDIA-Budapest-Reviews-EI_IE7633.0,6_IL.7,15_IC3125126.htm",success,,NVIDIA Budapest reviews,Budapest,,,2026-06-28T14:22:12.427443+00:00
NVIDIA,"Milan, LOM","https://www.glassdoor.com/Reviews/NVIDIA-Milan-Reviews-EI_IE7633.0,6_IL.7,12_IC2802090.htm","https://www.glassdoor.com/Reviews/NVIDIA-Milan-Reviews-EI_IE7633.0,6_IL.7,12_IC2802090.htm",success,,NVIDIA Milan reviews,Milan,diversity_inclusion,diversity_inclusion:page_missing,2026-06-28T14:22:20.399723+00:00
